AffiliationCnt	PersonID	Forename	Patronymic	Surname	Birth	Sex	urlPersonal	urlWiki
2	РаїсаВасилівнаБогатирьова.1953	Раїса	Василівна	Богатирьова	1953-01-06	F		https://en.wikipedia.org/wiki/Raisa_Bohatyriova
2	МихайлоКостянтиновичКороленко.1962	Михайло	Костянтинович	Короленко	1962-04-20	M		https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%9A%D0%BE%D1%81%D1%82%D1%8F%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
3	ГеннадійПавловичТемник.1970	Геннадій	Павлович	Темник	1970-06-09	M	https://www.chesno.org/politician/38283/	https://en.wikipedia.org/wiki/Hennadiy_Temnyk
4	НаталіяЮріївнаКоролевська.1975	Наталія	Юріївна	Королевська	1975-05-18	F	https://www.facebook.com/Nataliya.Korolevska/	https://en.wikipedia.org/wiki/Natalia_Korolevska
2	ЮрійВолодимировичКолобов.1973	Юрій	Володимирович	Колобов	1973-04-08	M		https://en.wikipedia.org/wiki/Yuriy_Kolobov
2	ОлександрВолодимировичЛавринович.1956	Олександр	Володимирович	Лавринович	1956-06-28	M		https://en.wikipedia.org/wiki/Oleksandr_Lavrynovych
3	ВікторФедоровичЯнукович.1950	Віктор	Федорович	Янукович	1950-07-09	M		https://en.wikipedia.org/wiki/Viktor_Yanukovych
3	ОлександрВалентиновичТурчинов.1964	Олександр	Валентинович	Турчинов	1964-03-31	M	https://turchynov.com/	https://en.wikipedia.org/wiki/Oleksandr_Turchynov
3	ПетроОлексійовичПорошенко.1965	Петро	Олексійович	Порошенко	1965-09-26	M	https://www.facebook.com/petroporoshenko/	https://en.wikipedia.org/wiki/Petro_Poroshenko
2	ВолодимирОлександровичЗеленський.1978	Володимир	Олександрович	Зеленський	1978-01-25	M	https://uk-ua.facebook.com/zelenskiy.official;https://www.instagram.com/zelenskiy_official/	https://en.wikipedia.org/wiki/Volodymyr_Zelenskyy
4	АрсенійПетровичЯценюк.1974	Арсеній	Петрович	Яценюк	1974-05-22	M	https://yatsenyuk.org.ua/ua	https://en.wikipedia.org/wiki/Arseniy_Yatsenyuk
2	ВіталійГригоровичЯрема.1963	Віталій	Григорович	Ярема	1963-10-14	M		https://en.wikipedia.org/wiki/Vitaly_Yarema
2	ОлександрМаксимовичСич.1964	Олександр	Максимович	Сич	1964-07-16	M		https://en.wikipedia.org/wiki/Oleksandr_Sych
6	ВолодимирБорисовичГройсман.1978	Володимир	Борисович	Гройсман	1978-01-20	M		https://en.wikipedia.org/wiki/Volodymyr_Groysman
5	ПавлоДмитровичПетренко.1979	Павло	Дмитрович	Петренко	1979-07-17	M		https://en.wikipedia.org/wiki/Pavlo_Petrenko
2	ДмитроСергійовичБулатов.1978	Дмитро	Сергійович	Булатов	1978-08-13	M		https://en.wikipedia.org/wiki/Dmytro_Bulatov
4	ЄвгенМиколайовичНищук.1972	Євген	Миколайович	Нищук	1972-12-29	M		https://en.wikipedia.org/wiki/Yevhen_Nyshchuk
4	СергійМироновичКвіт.1965	Сергій	Миронович	Квіт	1965-11-26	M		https://en.wikipedia.org/wiki/Serhiy_Kvit
2	ПавлоМихайловичШеремета.1971	Павло	Михайлович	Шеремета	1971-05-23	M		https://en.wikipedia.org/wiki/Pavlo_Sheremeta
2	АнатолійАркадійовичМаксюта.1963	Анатолій	Аркадійович	Максюта	1963-06-15	M		https://en.wikipedia.org/wiki/Anatoliy_Maksyuta
2	ВалерійТезійовичПятницький.1962	Валерій	Тезійович	Пятницький	1962-04-19	M		https://en.wikipedia.org/wiki/Valery_Pyatnitsky
2	ОлегСтепановичМусій.1965	Олег	Степанович	Мусій	1965-05-12	M		https://en.wikipedia.org/wiki/Oleh_Musiy
3	ЛюдмилаЛеонтіївнаДенісова.1960	Людмила	Леонтіївна	Денісова	1960-07-06	F		https://en.wikipedia.org/wiki/Lyudmyla_Denisova
2	АндрійВолодимировичМохник.1972	Андрій	Володимирович	Мохник	1972-06-15	M		https://en.wikipedia.org/wiki/Andriy_Mokhnyk
2	АндрійБогдановичДещиця.1965	Андрій	Богданович	Дещиця	1965-09-22	M		https://en.wikipedia.org/wiki/Andrii_Deshchytsia
2	ПавлоАнатолійовичКлімкін.1967	Павло	Анатолійович	Клімкін	1967-12-25	M		https://en.wikipedia.org/wiki/Pavlo_Klimkin
2	ІгорОлександровичШвайка.1976	Ігор	Олександрович	Швайка	1976-02-25	M		https://en.wikipedia.org/wiki/Ihor_Shvaika
2	ЮрійВасильовичПродан.1959	Юрій	Васильович	Продан	1959-01-27	M		https://en.wikipedia.org/wiki/Yuriy_Prodan
8	АрсенБорисовичАваков.1964	Арсен	Борисович	Аваков	1964-01-02	M	https://avakov.com/en/	https://en.wikipedia.org/wiki/Arsen_Avakov
2	ІгорЙосиповичТенюх.1958	Ігор	Йосипович	Тенюх	1958-05-23	M		https://en.wikipedia.org/wiki/Ihor_Tenyukh
2	МихайлоВолодимировичКоваль.1956	Михайло	Володимирович	Коваль	1956-02-26	M		https://en.wikipedia.org/wiki/Mykhailo_Koval
2	ВалерійВікторовичГелетей.1967	Валерій	Вікторович	Гелетей	1967-08-28	M		https://en.wikipedia.org/wiki/Valeriy_Heletey
4	СтепанТимофійовичПолторак.1965	Степан	Тимофійович	Полторак	1965-02-11	M		https://en.wikipedia.org/wiki/Stepan_Poltorak
3	МаксимЮрійовичБурбак.1976	Максим	Юрійович	Бурбак	1976-01-13	M		https://en.wikipedia.org/wiki/Maksym_Burbak
2	ОлександрВіталійовичШлапак.1960	Олександр	Віталійович	Шлапак	1960-01-01	M		https://en.wikipedia.org/wiki/Oleksandr_Shlapak
4	ОстапМихайловичСемерак.1972	Остап	Михайлович	Семерак	1972-06-27	M		https://en.wikipedia.org/wiki/Ostap_Semerak
2	ВалерійМиколайовичВощевський.1956	Валерій	Миколайович	Вощевський	1956-06-12	M		https://en.wikipedia.org/wiki/Valeriy_Voshchevsky
5	В’ячеславАнатолійовичКириленко.1968	В’ячеслав	Анатолійович	Кириленко	1968-06-07	M		https://en.wikipedia.org/wiki/Vyacheslav_Kyrylenko
5	ГеннадійГригоровичЗубко.1967	Геннадій	Григорович	Зубко	1967-09-27	M		https://en.wikipedia.org/wiki/Hennadiy_Zubko
2	АйварасАбромавічус.1976	Айварас		Абромавічус	1976-01-21	M		https://en.wikipedia.org/wiki/Aivaras_Abromavi%C4%8Dius
2	ВолодимирВасильовичДемчишин.1974	Володимир	Васильович	Демчишин	1974-11-12	M		https://en.wikipedia.org/wiki/Volodymyr_Demchyshyn
4	ІгорОлександровичЖданов.1967	Ігор	Олександрович	Жданов	1967-12-29	M		https://en.wikipedia.org/wiki/Ihor_Zhdanov
2	ОлександрКвіташвілі.1970	Олександр		Квіташвілі	1970-11-15	M		https://en.wikipedia.org/wiki/Alexander_Kvitashvili
2	ГаннаВолодимирівнаОнищенко.1984	Ганна	Володимирівна	Онищенко	1984-10-15	F		https://en.wikipedia.org/wiki/Hanna_Onyschenko
2	ОлексійМихайловичПавленко.1977	Олексій	Михайлович	Павленко	1977-01-02	M		https://en.wikipedia.org/wiki/Oleksiy_Pavlenko
2	АндрійМиколайовичПивоварський.1978	Андрій	Миколайович	Пивоварський	1978-06-12	M		https://en.wikipedia.org/wiki/Andriy_Pyvovarsky
3	ПавлоВалерійовичРозенко.1970	Павло	Валерійович	Розенко	1970-07-15	M		https://en.wikipedia.org/wiki/Pavlo_Rozenko
4	ЮрійЯрославовичСтець.1975	Юрій	Ярославович	Стець	1975-12-29	M		https://en.wikipedia.org/wiki/Yuriy_Stets
2	НаталіяЯресько.1965	Наталія		Яресько	1965-04-24	F		https://en.wikipedia.org/wiki/Natalie_Jaresko
2	ІгорАнатолійовичШевченко.1971	Ігор	Анатолійович	Шевченко	1971-01-10	M		https://en.wikipedia.org/wiki/Ihor_Shevchenko
3	СтепанІвановичКубів.1962	Степан	Іванович	Кубів	1962-03-19	M		https://en.wikipedia.org/wiki/Stepan_Kubiv
3	ІваннаОрестівнаКлимпуш-Цинцадзе.1972	Іванна	Орестівна	Климпуш-Цинцадзе	1972-07-05	F		https://en.wikipedia.org/wiki/Ivanna_Klympush-Tsintsadze
3	ВолодимирЄвсевійовичКістіон.1965	Володимир	Євсевійович	Кістіон	1965-05-31	M	https://www.chesno.org/politician/35426/	https://en.wikipedia.org/wiki/Volodymyr_Kistion
3	ТарасВікторовичКутовий.1976	Тарас	Вікторович	Кутовий	1976-02-25	M		https://en.wikipedia.org/wiki/Taras_Kutovy
2	МаксимПетровичМартинюк.1977	Максим	Петрович	Мартинюк	1977-04-24	M		https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D1%8E%D0%BA_%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87
2	ОльгаВасилівнаТрофімцева.1976	Ольга	Василівна	Трофімцева	1976-07-06	F		https://uk.wikipedia.org/wiki/%D0%A2%D1%80%D0%BE%D1%84%D1%96%D0%BC%D1%86%D0%B5%D0%B2%D0%B0_%D0%9E%D0%BB%D1%8C%D0%B3%D0%B0_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%96%D0%B2%D0%BD%D0%B0
3	ІгорСтепановичНасалик.1962	Ігор	Степанович	Насалик	1962-11-25	M		https://en.wikipedia.org/wiki/Ihor_Nasalyk
2	ВолодимирВолодимировичОмелян.1979	Володимир	Володимирович	Омелян	1979-01-30	M		https://en.wikipedia.org/wiki/Volodymyr_Omelyan
4	ЛіліяМихайлівнаГриневич.1965	Лілія	Михайлівна	Гриневич	1965-05-13	F		https://en.wikipedia.org/wiki/Liliya_Hrynevych
2	ОлександраСергіївнаПавленко.1982	Олександра	Сергіївна	Павленко	1982-10-11	M		https://uk.wikipedia.org/wiki/%D0%9F%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%B0_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D1%97%D0%B2%D0%BD%D0%B0
2	ВікторВікторовичШафранський.1968	Віктор	Вікторович	Шафранський	1968-09-12	M		https://uk.wikipedia.org/wiki/%D0%A8%D0%B0%D1%84%D1%80%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87
2	УлянаНадіяСупрун.1963	Уляна	Надія	Супрун	1963-01-30	F		https://en.wikipedia.org/wiki/Ulana_Suprun
3	АндрійОлексійовичРева.1966	Андрій	Олексійович	Рева	1966-07-07	M		https://en.wikipedia.org/wiki/Andriy_Reva
2	ВадимОлеговичЧерниш.1971	Вадим	Олегович	Черниш	1971-10-16	M		https://en.wikipedia.org/wiki/Vadym_Chernysh
2	ОлександрОлександровичДанилюк.1975	Олександр	Олександрович	Данилюк	1975-07-22	M		https://en.wikipedia.org/wiki/Oleksandr_Danylyuk
3	ОксанаСергіївнаМаркарова.1976	Оксана	Сергіївна	Маркарова	1976-10-28	F		https://en.wikipedia.org/wiki/Oksana_Markarova
2	ІринаВасилівнаФріз.1974	Ірина	Василівна	Фріз	1974-09-25	F		https://en.wikipedia.org/wiki/Iryna_Friz
3	ОлександрСергійовичСаєнко.1984	Олександр	Сергійович	Саєнко	1984-02-29	M		https://en.wikipedia.org/wiki/Oleksandr_Saienko
2	ОлексійВалерійовичГончарук.1984	Олексій	Валерійович	Гончарук	1984-07-07	M		https://en.wikipedia.org/wiki/Oleksiy_Honcharuk
3	ДмитроІвановичКулеба.1981	Дмитро	Іванович	Кулеба	1981-04-19	M		https://en.wikipedia.org/wiki/Dmytro_Kuleba
5	МихайлоАльбертовичФедоров.1991	Михайло	Альбертович	Федоров	1991-01-21	M		https://en.wikipedia.org/wiki/Mykhailo_Fedorov
4	ДенисАнатолійовичШмигаль.1975	Денис	Анатолійович	Шмигаль	1975-10-15	M		https://en.wikipedia.org/wiki/Denys_Shmyhal
1	ОксанаВасилівнаКоляда.1980	Оксана	Василівна	Коляда	1980-09-04	F		https://en.wikipedia.org/wiki/Oksana_Koliada
1	ОлексійАнатолійовичОржель.1984	Олексій	Анатолійович	Оржель	1984-01-26	M		https://en.wikipedia.org/wiki/Oleksiy_Orzhel
1	ВадимВолодимировичПристайко.1970	Вадим	Володимирович	Пристайко	1970-02-20	M		https://en.wikipedia.org/wiki/Vadym_Prystaiko
1	ВладиславАртуровичКриклій.1986	Владислав	Артурович	Криклій	1986-11-23	M		https://en.wikipedia.org/wiki/Vladyslav_Krykliy
1	ВолодимирВолодимировичБородянський.1974	Володимир	Володимирович	Бородянський	1974-01-15	M		https://en.wikipedia.org/wiki/Volodymyr_Borodiansky
1	АндрійПавловичЗагороднюк.1976	Андрій	Павлович	Загороднюк	1976-12-05	M		https://en.wikipedia.org/wiki/Andrii_Zahorodniuk
1	ГаннаІгорівнаНовосад.1990	Ганна	Ігорівна	Новосад	1990-07-28	F		https://en.wikipedia.org/wiki/Hanna_Novosad
1	ЗорянаСтепанівнаСкалецька.1980	Зоряна	Степанівна	Скалецька	1980-08-09	F		https://en.wikipedia.org/wiki/Zoriana_Skaletska
1	АльонаВалеріївнаБабак.1969	Альона	Валеріївна	Бабак	1969-09-27	F		https://en.wikipedia.org/wiki/Aliona_Babak
1	ТимофійСергійовичМилованов.1975	Тимофій	Сергійович	Милованов	1975-03-18	M		https://en.wikipedia.org/wiki/Tymofiy_Mylovanov
1	ЮліяСергіївнаСоколовська.1985	Юлія	Сергіївна	Соколовська	1985-04-12	F		https://en.wikipedia.org/wiki/Yuliya_Sokolovska
1	ДенисЛеонтійовичМалюська.1981	Денис	Леонтійович	Малюська	1981-11-19	M		https://en.wikipedia.org/wiki/Denys_Maliuska
1	ДмитроОлександровичДубілет.1985	Дмитро	Олександрович	Дубілет	1985-05-27	M		https://en.wikipedia.org/wiki/Dmytro_Dubilet
0	ЮліяАнатоліївнаСвириденко.1985	Юлія	Анатоліївна	Свириденко	1985-12-25	F		https://en.wikipedia.org/wiki/Yulia_Svyrydenko
